Region_Name,Legal_Name
금천구,시흥동
금천구,독산동
금천구,가산동
광진구,구의동
광진구,구의동
광진구,자양동
광진구,자양동
광진구,자양동
광진구,광장동
광진구,능동
광진구,중곡동
광진구,중곡동
광진구,중곡동
광진구,중곡동
광진구,군자동
광진구,화양동
광진구,광진구
광진구,모진동
광진구,노유동
광진구,구의동
강북구,미아동
강북구,미아동
강북구,미아동
광진구,광장동
광진구,군자동
노원구,월계동
도봉구,수유동
강서구,방화동
구로구,개봉동
도봉구,방학동
강서구,방화동
노원구,월계동
강서구,가양동
강서구,가양동
강서구,염창동
강서구,마곡동
강서구,가양동
강서구,가양동
강남구,논현동
강남구,일원동
강남구,수서동
강남구,논현동
강남구,개포동
강서구,가양동
강남구,일원동
강서구,염창동
강남구,수서동
송파구,장지동
송파구,문정동
강남구,수서동
강남구,일원동
강남구,대치동
서초구,원지동
노원구,중계동
노원구,상계동
관악구,신림동
동작구,상도동
중랑구,면목동
동작구,상도1동
송파구,거여동
서초구,우면동
동작구,사당동
송파구,거여동
서초구,양재동
노원구,중계동
송파구,방이동
송파구,방이동
서초구,양재동
성동구,광장동
성동구,구의동
중구,을지로2가
중구,남대문로2가
중구,남대문로1가
중구,봉래동2가
중구,수하동
중구,삼각동
중구,을지로2가
중구,남대문로5가
중구,을지로1가
중구,태평로1가
중구,장교동
중구,수표동
중구,장교동
중구,다동
중구,무교동
중구,수하동
중구,삼각동
중구,남대문로1가
중구,무교동
중구,다동
중구,태평로1가
중구,순화동
중구,봉래동2가
중구,봉래동1가
중구,남대문로5가
중구,을지로1가
중구,수표동
구로구,독산동
강동구,암사동
서초구,서초동
도봉구,쌍문동
강서구,화곡동
서초구,방배동
도봉구,창동
강서구,화곡동
노원구,중계동
도봉구,미아동
강서구,화곡동
구로구,구로동
도봉구,번동
도봉구,번동
서초구,반포동
관악구,신림동
노원구,하계동
노원구,하계동
은평구,신사동
서초구,서초동
노원구,중계동
은평구,신사동
송파구,잠실동
강서구,내발산동
노원구,중계동
송파구,장지동
송파구,문정동
송파구,장지동
강서구,외발산동
강서구,내발산동
노원구,상계동
송파구,문정동
노원구,상계동
양천구,신정동
노원구,상계동
중랑구,중화동
송파구,가락동
은평구,갈현동
송파구,방이동
양천구,신월동
송파구,가락동
은평구,갈현동
성북구,하월곡동
성북구,하월곡동
서초구,방배동
성북구,하월곡동
성북구,하월곡동
서초구,서초동
도봉구,도봉동
도봉구,미아동
강남구,도곡동
도봉구,창동
강남구,도곡동
도봉구,도봉동
구로구,구로동
도봉구,미아동
도봉구,미아동
도봉구,창동
도봉구,도봉동
도봉구,창동
도봉구,창동
도봉구,창동
구로구,구로구
송파구,가락동
서초구,도곡동
강남구,압구정동
도봉구,방학동
강남구,신사동
서초구,개포동
서초구,양재동
서초구,도곡동
구로구,온수동
양천구,목동
송파구,삼전동
구로구,궁동
양천구,신정동
강남구,청담동
강남구,개포동
강남구,청담동
강남구,압구정동
강남구,신사동
강남구,대치동
강남구,포이동
서초구,양재동
성동구,옥수동
강동구,고덕동
강동구,명일동
성동구,능동
성동구,구의동
은평구,응암동
강동구,고덕동
노원구,상계동
송파구,송파동
송파구,송파동
노원구,월계동
성동구,구의동
성동구,옥수동
노원구,상계동
종로구,익선동
종로구,경운동
종로구,관철동
종로구,인사동
종로구,낙원동
종로구,종로2가
종로구,훈정동
종로구,묘동
종로구,봉익동
종로구,돈의동
종로구,장사동
종로구,관수동
종로구,종로3가
종로구,인의동
종로구,예지동
종로구,원남동
종로구,종로4가
중구,동자동
중구,도동1가
중구,도동2가
중구,양동
중구,신당1동
중구,신당2동
중구,신당3동
중구,신당4동
중구,신당5동
중구,신당6동
성동구,포이동
성동구,개포동
성동구,도곡동
성동구,논현동
성동구,신사동
성동구,학동
성동구,압구정동
성동구,청담동
성동구,삼성동
성동구,대치동
성동구,염곡동
성동구,내곡동
성동구,신원동
성동구,반포동
성동구,잠원동
성동구,서초동
성동구,양재동
성동구,우면동
성동구,원지동
성동구,황학동
성동구,무학동
성동구,흥인동
성동구,신당동
성동구,용두동
성동구,답십리동
성동구,면목동
성동구,금호동
성동구,명일동
성동구,하일동
성동구,고덕동
성동구,왕십리1동
성동구,왕십리2동
성동구,행당1동
성동구,행당2동
성동구,중곡1동
성동구,중곡2동
성동구,중곡3동
성동구,중곡4동
성동구,옥수1동
성동구,옥수2동
성동구,성수1가1동
성동구,성수1가2동
성동구,성수2가1동
성동구,성수2가2동
성동구,성수2가3동
성동구,성수2가4동
성동구,자양1동
성동구,자양2동
성동구,자양3동
성동구,구의1동
성동구,구의2동
성동구,옥수동
성동구,상왕십리동
성동구,하왕십리동
성동구,홍익동
성동구,도선동
성동구,금호동2가
성동구,금호동3가
성동구,성수동2가
성동구,성수동2가
성동구,화양동
성동구,모진동
성동구,군자동
성동구,능동
성동구,중곡동
성동구,능동
성동구,중곡동
성동구,중곡동
성동구,중곡동
성동구,능동
성동구,구의동
성동구,군자동
성동구,능동
성동구,구의동
성동구,광장동
성동구,구의동
성동구,자양동
성동구,자양동
성동구,자양동
동대문구,상봉동
동대문구,중화동
동대문구,묵동
동대문구,망우동
동대문구,신내동
동대문구,중곡동
동대문구,능동
동대문구,군자동
동대문구,종암동
동대문구,안암동4가
동대문구,안암동5가
동대문구,석관동
동대문구,보문동1가
동대문구,보문동2가
동대문구,보문동3가
동대문구,보문동4가
동대문구,보문동5가
동대문구,보문동6가
동대문구,보문동7가
동대문구,창신동
동대문구,숭인동
동대문구,용두1동
동대문구,용두2동
동대문구,제기1동
동대문구,제기2동
동대문구,전농1동
동대문구,전농2동
동대문구,전농3동
동대문구,전농4동
동대문구,답십리1동
동대문구,답십리2동
동대문구,답십리3동
동대문구,답십리4동
동대문구,답십리5동
동대문구,장안1동
동대문구,장안2동
동대문구,장안3동
동대문구,장안4동
동대문구,청량리1동
동대문구,청량리2동
동대문구,휘경1동
동대문구,휘경2동
동대문구,이문1동
동대문구,이문2동
동대문구,이문3동
동대문구,신설동
동대문구,용두동
동대문구,용두동
동대문구,용두동
동대문구,제기동
동대문구,제기동
동대문구,전농동
동대문구,전농동
동대문구,답십리동
동대문구,답십리동
동대문구,답십리동
동대문구,장안동
동대문구,면목동
동대문구,장안동
동대문구,청량리동
동대문구,청량리동
동대문구,면목동
동대문구,이문동
중랑구,면목1동
중랑구,면목2동
중랑구,면목3동
중랑구,면목4동
중랑구,면목5동
중랑구,면목6동
중랑구,면목7동
중랑구,상봉1동
중랑구,상봉2동
